type,save_percentage,psxg_ga,successful_passes,errors_leading_to_goal
moden,,,33,1.3
moden,68,4.2,40 passes,two
modern,80%,3.1,33,0.5
modern,71.3,2.8,sixty,1.3
moden,,-1,33,1.3
modern,74%,4.2,sixty,0.5
moden,71.3,3.1,40 passes,0
moden,,five,33,
modern,,2.8,38,
moden,68,3.1,38,0
moden,74%,-1,sixty,0
Modern,68,-1,40 passes,
modern,80%,,38,1.3
moden,74%,2.8,sixty,0
modern,80%,4.2,33,1.3
Modern,71.3,,33,
modern,,3.1,,
Modern,,2.8,38,0
modern,80%,,sixty,0.5
modern,NaN,3.1,38,1
modern,80%,,50,two
Modern,,,sixty,1.3
modern,,3.1,33,
Modern,71.3,,40 passes,two
Modern,80%,2.8,40 passes,two
moden,71.3,five,40 passes,1.3
modern,,2.8,sixty,0
modern,NaN,,sixty,0.5
Modern,,,40 passes,1
moden,NaN,five,40 passes,
Modern,NaN,3.1,50,0
moden,71.3,3.1,50,0.5
moden,68,4.2,33,0.5
moden,,,40 passes,1.3
moden,80%,3.1,38,1.3
Modern,80%,five,33,0.5
moden,,five,40 passes,
modern,74%,3.1,50,1
Modern,74%,2.8,50,0.5
Modern,80%,-1,50,0
Modern,,-1,38,two
moden,71.3,-1,50,0.5
modern,NaN,2.8,,
moden,74%,4.2,40 passes,0.5
moden,68,2.8,,1
modern,74%,-1,40 passes,0
Modern,71.3,3.1,,0
moden,NaN,4.2,40 passes,two
moden,,4.2,33,
Modern,74%,4.2,,1
traditonal,60,-2,18 passes,3
traditonal,70%,3.3,,one
Traditional,70%,1.2,,one
Traditional,NaN,,18 passes,
traditonal,75%,0.5,fifteen,3
traditonal,60,,20,
traditional,69.5,-2,fifteen,
traditional,60,bad,20,0
Traditional,70%,0.5,25,3
traditonal,70%,,18 passes,0.8
traditional,69.5,1.2,25,1
traditional,,,20,3
traditonal,75%,0.5,,0.8
traditonal,,,20,3
traditonal,69.5,-2,18 passes,one
Traditional,75%,1.2,,0.8
traditional,NaN,1.2,,
traditonal,,,,1
traditional,60,bad,20,
Traditional,75%,-2,30,
traditonal,69.5,3.3,20,1
traditional,70%,bad,30,3
traditional,75%,3.3,25,0
Traditional,NaN,bad,30,0.8
Traditional,,3.3,fifteen,0
traditional,69.5,bad,25,1
Traditional,,-2,fifteen,3
traditonal,70%,3.3,18 passes,
traditonal,,bad,30,0
traditional,,bad,,one
traditional,,,25,3
traditonal,60,,,1
Traditional,,0.5,,3
Traditional,70%,,fifteen,1
traditonal,NaN,,20,1
traditonal,70%,0.5,30,1
traditonal,75%,bad,18 passes,0.8
Traditional,70%,bad,,
traditional,NaN,0.5,fifteen,1
traditional,69.5,3.3,18 passes,1
Traditional,75%,0.5,30,1
Traditional,75%,3.3,,3
traditonal,,1.2,,1
traditional,69.5,,25,one
Traditional,69.5,,18 passes,3
traditional,70%,,fifteen,0
traditonal,70%,0.5,,
traditional,69.5,1.2,18 passes,3
traditonal,70%,1.2,,1
Traditional,69.5,3.3,25,one
